Entity,Day,"Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)"
Algeria,2020-01-09,0.0
Algeria,2020-01-10,0.0
Algeria,2020-01-11,0.0
Algeria,2020-01-12,0.0
Algeria,2020-01-13,0.0
Algeria,2020-01-14,0.0
Algeria,2020-01-15,0.0
Algeria,2020-01-16,0.0
Algeria,2020-01-17,0.0
Algeria,2020-01-18,0.0
Algeria,2020-01-19,0.0
Algeria,2020-01-20,0.0
Algeria,2020-01-21,0.0
Algeria,2020-01-22,0.0
Algeria,2020-01-23,0.0
Algeria,2020-01-24,0.0
Algeria,2020-01-25,0.0
Algeria,2020-01-26,0.0
Algeria,2020-01-27,0.0
Algeria,2020-01-28,0.0
Algeria,2020-01-29,0.0
Algeria,2020-01-30,0.0
Algeria,2020-01-31,0.0
Algeria,2020-02-01,0.0
Algeria,2020-02-02,0.0
Algeria,2020-02-03,0.0
Algeria,2020-02-04,0.0
Algeria,2020-02-05,0.0
Algeria,2020-02-06,0.0
Algeria,2020-02-07,0.0
Algeria,2020-02-08,0.0
Algeria,2020-02-09,0.0
Algeria,2020-02-10,0.0
Algeria,2020-02-11,0.0
Algeria,2020-02-12,0.0
Algeria,2020-02-13,0.0
Algeria,2020-02-14,0.0
Algeria,2020-02-15,0.0
Algeria,2020-02-16,0.0
Algeria,2020-02-17,0.0
Algeria,2020-02-18,0.0
Algeria,2020-02-19,0.0
Algeria,2020-02-20,0.0
Algeria,2020-02-21,0.0
Algeria,2020-02-22,0.0
Algeria,2020-02-23,0.0
Algeria,2020-02-24,0.0
Algeria,2020-02-25,0.0
Algeria,2020-02-26,0.0031412784
Algeria,2020-02-27,0.0031412784
Algeria,2020-02-28,0.0031412784
Algeria,2020-02-29,0.0031412784
Algeria,2020-03-01,0.0031412784
Algeria,2020-03-02,0.0031412784
Algeria,2020-03-03,0.015706392
Algeria,2020-03-04,0.01884767
Algeria,2020-03-05,0.050260454
Algeria,2020-03-06,0.050260454
Algeria,2020-03-07,0.050260454
Algeria,2020-03-08,0.05654301
Algeria,2020-03-09,0.059684288
Algeria,2020-03-10,0.047119174
Algeria,2020-03-11,0.040836617
Algeria,2020-03-12,0.009423835
Algeria,2020-03-13,0.025130227
Algeria,2020-03-14,0.025130227
Algeria,2020-03-15,0.05654301
Algeria,2020-03-16,0.087955795
Algeria,2020-03-17,0.12565114
Algeria,2020-03-18,0.14764008
Algeria,2020-03-19,0.16334647
Algeria,2020-03-20,0.17905286
Algeria,2020-03-21,0.21674821
Algeria,2020-03-22,0.3204104
Algeria,2020-03-23,0.4774743
Algeria,2020-03-24,0.5371586
Algeria,2020-03-25,0.62825567
Algeria,2020-03-26,0.73191786
Algeria,2020-03-27,0.8952643
Algeria,2020-03-28,0.98950267
Algeria,2020-03-29,0.98950267
Algeria,2020-03-30,0.97693753
Algeria,2020-03-31,1.1088712
Algeria,2020-04-01,1.410434
Algeria,2020-04-02,1.6240408
Algeria,2020-04-03,1.9444513
Algeria,2020-04-04,2.393654
Algeria,2020-04-05,2.503599
Algeria,2020-04-06,2.5444355
Algeria,2020-04-07,2.6355326
Algeria,2020-04-08,2.3622413
Algeria,2020-04-09,2.3559587
Algeria,2020-04-10,2.1360693
Algeria,2020-04-11,1.8533542
Algeria,2020-04-12,1.8030938
Algeria,2020-04-13,1.8627781
Algeria,2020-04-14,1.7591158
Algeria,2020-04-15,1.8910495
Algeria,2020-04-16,1.8470716
Algeria,2020-04-17,1.8910495
Algeria,2020-04-18,2.06382
Algeria,2020-04-19,2.2271664
Algeria,2020-04-20,2.246014
Algeria,2020-04-21,2.3088396
Algeria,2020-04-22,2.3276873
Algeria,2020-04-23,2.3559587
Algeria,2020-04-24,2.3214047
Algeria,2020-04-25,2.2271664
Algeria,2020-04-26,2.268003
Algeria,2020-04-27,2.3653827
Algeria,2020-04-28,2.5098815
Algeria,2020-04-29,2.6323912
Algeria,2020-04-30,2.9465191
Algeria,2020-05-01,3.138137
Algeria,2020-05-02,3.2260928
Algeria,2020-05-03,3.2637882
Algeria,2020-05-04,3.430276
Algeria,2020-05-05,3.5527859
Algeria,2020-05-06,3.7349799
Algeria,2020-05-07,3.6093287
Algeria,2020-05-08,3.6941433
Algeria,2020-05-09,3.8166533
Algeria,2020-05-10,3.9674346
Algeria,2020-05-11,3.9234567
Algeria,2020-05-12,3.904609
Algeria,2020-05-13,3.860631
Algeria,2020-05-14,3.9454455
Algeria,2020-05-15,3.9580107
Algeria,2020-05-16,3.961152
Algeria,2020-05-17,3.9674346
Algeria,2020-05-18,4.071097
Algeria,2020-05-19,4.1150746
Algeria,2020-05-20,4.1150746
Algeria,2020-05-21,4.0491076
Algeria,2020-05-22,4.039684
Algeria,2020-05-23,4.0459666
Algeria,2020-05-24,4.0585318
Algeria,2020-05-25,4.042825
Algeria,2020-05-26,4.0899444
Algeria,2020-05-27,4.146487
Algeria,2020-05-28,4.130781
Algeria,2020-05-29,3.986282
Algeria,2020-05-30,3.8197944
Algeria,2020-05-31,3.6250353
Algeria,2020-06-01,3.4177108
Algeria,2020-06-02,3.172691
Algeria,2020-06-03,2.9182475
Algeria,2020-06-04,2.7517598
Algeria,2020-06-05,2.619826
Algeria,2020-06-06,2.5161638
Algeria,2020-06-07,2.459621
Algeria,2020-06-08,2.3873715
Algeria,2020-06-09,2.3622413
Algeria,2020-06-10,2.3748064
Algeria,2020-06-11,2.3591
Algeria,2020-06-12,2.381089
Algeria,2020-06-13,2.3967953
Algeria,2020-06-14,2.3873715
Algeria,2020-06-15,2.4030778
Algeria,2020-06-16,2.428208
Algeria,2020-06-17,2.4030778
Algeria,2020-06-18,2.462762
Algeria,2020-06-19,2.5004575
Algeria,2020-06-20,2.5318704
Algeria,2020-06-21,2.5789895
Algeria,2020-06-22,2.6763692
Algeria,2020-06-23,2.7706075
Algeria,2020-06-24,2.9182475
Algeria,2020-06-25,3.0784528
Algeria,2020-06-26,3.329755
Algeria,2020-06-27,3.7098496
Algeria,2020-06-28,4.199889
Algeria,2020-06-29,4.7182
Algeria,2020-06-30,5.1862507
Algeria,2020-07-01,5.751681
Algeria,2020-07-02,6.3579473
Algeria,2020-07-03,6.948508
Algeria,2020-07-04,7.4919486
Algeria,2020-07-05,7.9537168
Algeria,2020-07-06,8.380931
Algeria,2020-07-07,8.899241
Algeria,2020-07-08,9.335879
Algeria,2020-07-09,9.662572
Algeria,2020-07-10,9.898168
Algeria,2020-07-11,9.964135
Algeria,2020-07-12,10.089786
Algeria,2020-07-13,10.22172
Algeria,2020-07-14,10.319099
Algeria,2020-07-15,10.482446
Algeria,2020-07-16,10.7494545
Algeria,2020-07-17,11.142115
Algeria,2020-07-18,11.641578
Algeria,2020-07-19,12.053085
Algeria,2020-07-20,12.216432
Algeria,2020-07-21,12.571396
Algeria,2020-07-22,12.759872
Algeria,2020-07-23,12.885524
Algeria,2020-07-24,12.970338
Algeria,2020-07-25,13.227923
Algeria,2020-07-26,13.240488
Algeria,2020-07-27,13.422683
Algeria,2020-07-28,13.4509535
Algeria,2020-07-29,13.623724
Algeria,2020-07-30,13.68655
Algeria,2020-07-31,13.655137
Algeria,2020-08-01,13.303313
Algeria,2020-08-02,13.149391
Algeria,2020-08-03,12.904371
Algeria,2020-08-04,12.561972
Algeria,2020-08-05,12.216432
Algeria,2020-08-06,12.018531
Algeria,2020-08-07,11.921151
Algeria,2020-08-08,11.814348
Algeria,2020-08-09,11.757805
